Backup de Produtos ERP
Gerado em: 2026-03-12T12:43:47.316695
Total de produtos: 8611

codigo_interno | nome | preco
201 | BEGACAO CAES NATURAL 15KG | 90.00
202 | FRISKIES GATO AD FRUTOS/MAR 10,1KG | 145.00
203 | FRISKIES GATOS AD MIX CARNE 10,1KG | 145.00
204 | FRISKIES GATOS CASTRADOS 10,1KG | 145.00
205 | RACAO PAPAGAIO AGUIA 10KG | 150.00
206 | RACAO FOSTER CAES ORIGINAL 25KG | 190.00
207 | VETMAX PLUX SUSPENSAO VETNIL 30ML | 68.00
208 | GLICOPAN PET 125ML | 59.99
209 | AMINOMIX PET COMPR | 130.67
210 | PELO & DERME GOLD 30 COMPRIMIDOS | 82.00
211 | PERIOVET GEL 25 G | 64.79
212 | FUROLISIN 10MG 10COMP | 13.50
213 | GLICOPAN PET GOTAS 30ML | 39.00
214 | OPTIVET TEARS 10ML | 149.30
215 | FURANIL BISNAGA 50G | 65.58
216 | PELO & DERME 1500MG DHA+EPA 30 CAPSULAS | 118.64
217 | HEMOLITAN PET 30 COMPRIMIDOS | 65.00
218 | SHAMPOO PELO & DERME HIPOALERGICO 320ML | 119.99
219 | GLICOPAN GOLD VETNIL 125ML | 80.00
220 | MUCOMUCIL XAROPE 50 ML | 139.99
221 | GELO PAN 100G | 36.00
222 | PELO & DERME GOLD 60 COMPRIMIDOS | 102.99
223 | NUTRALIFE INTENSIV 300G | 158.00
224 | HEMOLITAN PET GOTAS 60ML | 61.00
225 | PERIOVET SPRAY 100ML | 55.60
226 | ELETROLITICO PET 10G | 5.99
227 | GLICOPAN GOLD 30 COMPRIMIDOS | 89.00
228 | HEPVET 30 COMPRIMIDOS MASTIGAVEIS | 93.60
229 | HEMOLITAN GOLD 30 COMPRIMIDOS | 89.99
230 | AMINOMIX PET 500G | 143.00
231 | NUTRALOGIC 60COMP | 144.30
232 | PELO & DERME 750MG DHA+EPA 60 CAPSULAS | 119.99
233 | FUROLISIN 20MG 10COMP | 18.99
234 | AURIVET CLEAN VETNIL 50ML | 67.38
235 | AURIVET 13G | 115.00
236 | PELO & DERME 1500MG DHA+EPA 60 CAPSULAS | 169.99
237 | KERAVIT 5G | 99.99
238 | CONDROTON 1000MG 60COMP | 268.00
239 | VETAGLOS POMADA 20G | 59.99
240 | GLICOPAN GOLD 30ML | 57.41
241 | MELOXINEW 0,5MG 120 COMP | 23.50
242 | ALANTOL BISNAGA 25G | 68.99
243 | CAL-D-MIX PET LIQUIDO 100ML | 41.35
244 | CONDROTON 500MG 60COMP | 206.00
245 | FURANIL SOLUCAO 60ML | 79.99
246 | SCALIBOR 48 CM | 98.00
247 | METICORTEN VET 5 MG 1X10 COMP | 22.00
248 | BRAVECTO 250MG (4,5-10KG) | 195.00
249 | PULVEX POUR ON 1X1ML | 33.00
250 | SCALIBOR 65 CM | 100.00
251 | BRAVECTO 112,5MG (2-4,5KG) | 160.00
252 | AZIUM 20 COMP | 30.00
253 | METICORTEN VET 20 MG 1X10 COMP | 49.29
254 | RACAO GATSY GATO CARNE 20KG | 180.00
255 | DENTALIFE PURINA DOG RACAS GRANDES 84G | 8.96
256 | DENTALIFE PURINA DOG RACAS MEDIAS 51G | 7.85
257 | PEDIGREE CAES FL RMG 20KG | 250.00
258 | DOXITEC SYNTEC 16X100MG | 45.00
259 | DOXITEC SYNTEC 16X200MG | 67.00
260 | DOXITEC SYNTEC 16X50MG | 40.00
261 | SHAMPOO MICODINE SYNTEC 500ML | 128.00
262 | MULTITEC SYNTEC 1200MG | 20.00
263 | CAT CHOW SACHE CAST PEIXE MOLHO 85G | 2.99
264 | RACAO PROPLAN ADULT SENSITIVE SKIN 15KG | 345.00
265 | DENTASTIX PEDIGREE RP 3UN 45G | 9.99
266 | CAT CHOW GATO FL FRA/LEITE 10,1KG | 160.00
268 | FRISKIES PETISCOS CAMARAO 40G | 5.99
269 | FRISKIES PETISCOS FRANGO 40G | 5.99
270 | FRISKIES GATOS FILHOTES 10,1KG | 145.00
271 | CAT CHOW GATOS AD CARNE 10,1KG | 160.00
272 | CAT CHOW GATO AD PEIXE 10,1KG | 160.00
273 | RACAO CAT CHOW GATO FL FRANG/LEIT 10,1KG | 150.00
274 | DOG CHOW CAES AD RP CAR/FRA 20KG | 220.00
275 | RACAO FRISKIES GATO AD FRUTOS/MAR 20KG | 270.00
276 | KANINA AD CAR/CER 15KG | 155.00
